musicname,artistname,diff,difficult,level,puc_count
凛として咲く花の如く スプーキィテルミィンミックス,マチゲリータ,NOV,0,1,63
凛として咲く花の如く スプーキィテルミィンミックス,マチゲリータ,ADV,1,6,17
凛として咲く花の如く スプーキィテルミィンミックス,マチゲリータ,EXH,2,11,65
凛として咲く花の如く スプーキィテルミィンミックス,マチゲリータ,INF,4,15,15
Rebellious stage,Dios/シグナルP,NOV,0,2,22
Rebellious stage,Dios/シグナルP,ADV,1,6,16
Rebellious stage,Dios/シグナルP,EXH,2,10,33
Rebellious stage,Dios/シグナルP,INF,4,13,25
Love♡sicK,8#Prince(八王子P),NOV,0,3,7
Love♡sicK,8#Prince(八王子P),ADV,1,7,9
Love♡sicK,8#Prince(八王子P),EXH,2,11,26
Love♡Shine わんだふるmix,ARM (IOSYS) feat. 一ノ瀬月琉 (monotone),NOV,0,4,9
Love♡Shine わんだふるmix,ARM (IOSYS) feat. 一ノ瀬月琉 (monotone),ADV,1,7,8
Love♡Shine わんだふるmix,ARM (IOSYS) feat. 一ノ瀬月琉 (monotone),EXH,2,13,21
MAX 300 takamatt MIN REMIX,takamatt,NOV,0,4,7
MAX 300 takamatt MIN REMIX,takamatt,ADV,1,9,8
MAX 300 takamatt MIN REMIX,takamatt,EXH,2,13,21
Broken 8cmix,iroha(sasaki),NOV,0,6,8
Broken 8cmix,iroha(sasaki),ADV,1,10,8
Broken 8cmix,iroha(sasaki),EXH,2,14,16
Broken 8cmix,iroha(sasaki),HVN,6,18,10
ふしぎなくすり いっきのみっくす,ゆうゆ,NOV,0,3,10
ふしぎなくすり いっきのみっくす,ゆうゆ,ADV,1,6,14
ふしぎなくすり いっきのみっくす,ゆうゆ,EXH,2,11,28
ヒマワリ MUZIK SERVANT Remix,MUZIK SERVANT,NOV,0,4,13
ヒマワリ MUZIK SERVANT Remix,MUZIK SERVANT,ADV,1,8,10
ヒマワリ MUZIK SERVANT Remix,MUZIK SERVANT,EXH,2,10,41
PULSE LASER,ヒゲドライバー,NOV,0,2,22
PULSE LASER,ヒゲドライバー,ADV,1,7,9
PULSE LASER,ヒゲドライバー,EXH,2,12,11
PULSE LASER,ヒゲドライバー,INF,4,16,24
バタフライキャット,daniwell,NOV,0,3,11
バタフライキャット,daniwell,ADV,1,8,12
バタフライキャット,daniwell,EXH,2,13,40
バタフライキャット,daniwell,INF,4,15,20
Ha･lle･lu･jah,SOUND HOLIC feat. Nana Takahashi,NOV,0,4,14
Ha･lle･lu･jah,SOUND HOLIC feat. Nana Takahashi,ADV,1,7,21
Ha･lle･lu･jah,SOUND HOLIC feat. Nana Takahashi,EXH,2,13,26
Ha･lle･lu･jah,SOUND HOLIC feat. Nana Takahashi,INF,4,15,35
西日暮里の踊り,家の裏でマンボウが死んでるP,NOV,0,4,17
西日暮里の踊り,家の裏でマンボウが死んでるP,ADV,1,7,20
西日暮里の踊り,家の裏でマンボウが死んでるP,EXH,2,12,59
西日暮里の踊り,家の裏でマンボウが死んでるP,INF,4,16,85
ナナイロ,otetsu,NOV,0,2,22
ナナイロ,otetsu,ADV,1,7,23
ナナイロ,otetsu,EXH,2,10,53
ナナイロ,otetsu,INF,4,13,49
とある少年の一日,蝶々P,NOV,0,3,11
とある少年の一日,蝶々P,ADV,1,7,15
とある少年の一日,蝶々P,EXH,2,12,27
smooooch・∀・ KN mix,KN,NOV,0,3,12
smooooch・∀・ KN mix,KN,ADV,1,8,9
smooooch・∀・ KN mix,KN,EXH,2,13,28
SurVALI,YM,NOV,0,3,8
SurVALI,YM,ADV,1,8,14
SurVALI,YM,EXH,2,11,100
dilemma,豚乙女,NOV,0,2,22
dilemma,豚乙女,ADV,1,6,10
dilemma,豚乙女,EXH,2,10,30
jet coaster☆girl sasakure.UK tRiCkStAr Remix,sasakure.UK feat. mirto,NOV,0,1,30
jet coaster☆girl sasakure.UK tRiCkStAr Remix,sasakure.UK feat. mirto,ADV,1,5,8
jet coaster☆girl sasakure.UK tRiCkStAr Remix,sasakure.UK feat. mirto,EXH,2,9,40
ごりらがいるんだ,ピノキオP,NOV,0,4,12
ごりらがいるんだ,ピノキオP,ADV,1,8,8
ごりらがいるんだ,ピノキオP,EXH,2,12,25
ごりらがいるんだ ～かぼちゃが歌ってみたver～,ピノキオP feat.かぼちゃ,INF,4,15,13
「月風魔伝」龍骨鬼戦 yks Remix,yuukiss,NOV,0,5,10
「月風魔伝」龍骨鬼戦 yks Remix,yuukiss,ADV,1,8,16
「月風魔伝」龍骨鬼戦 yks Remix,yuukiss,EXH,2,13,22
「月風魔伝」龍骨鬼戦 yks Remix,yuukiss,INF,4,16,15
good high school,baker,NOV,0,2,25
good high school,baker,ADV,1,5,20
good high school,baker,EXH,2,8,100
good high school,baker,INF,4,17,15
ガッテンだ!! Novoiski Remix,ノボイスキ,NOV,0,3,5
ガッテンだ!! Novoiski Remix,ノボイスキ,ADV,1,7,8
ガッテンだ!! Novoiski Remix,ノボイスキ,EXH,2,11,19
Evans VolteX Pf arrange,cosMo＠暴走P,NOV,0,5,11
Evans VolteX Pf arrange,cosMo＠暴走P,ADV,1,9,7
Evans VolteX Pf arrange,cosMo＠暴走P,EXH,2,15,40
Evans VolteX Pf arrange,cosMo＠暴走P,HVN,6,18,8
Iterator,yanagi,NOV,0,2,23
Iterator,yanagi,ADV,1,8,7
Iterator,yanagi,EXH,2,10,20
It's over,ゆよゆっぺ feat.めらみぽっぷ,NOV,0,1,39
It's over,ゆよゆっぺ feat.めらみぽっぷ,ADV,1,8,9
It's over,ゆよゆっぺ feat.めらみぽっぷ,EXH,2,12,27
It's over,ゆよゆっぺ feat.めらみぽっぷ,INF,4,13,26
ALBIDA Powerless Mix,無力P,NOV,0,5,11
ALBIDA Powerless Mix,無力P,ADV,1,10,9
ALBIDA Powerless Mix,無力P,EXH,2,13,65
ALBIDA Powerless Mix,無力P,INF,4,17,9
