player_id,player_name,volforce,16_puc,17_puc,18_puc,19_puc,20_puc
SV-1001-0728,KARINN,19.83,1,1,0,0,0
SV-1005-4212,YURIAN.,20.08
SV-1006-1079,GRACE,21.21,72,330,196,26,0
SV-1050-4928,EL#RAPIS,19.63
SV-1059-1896,MMJ,19.87,40,6,0,0,0
SV-1071-3339,SKELETON,19.70,18,12,0,0,0
SV-1071-3479,JAD,20.13,0,2,1,0,0
SV-1107-7227,TTY*KK3,19.99,11,9,0,0,0
SV-1112-1712,H.NP.BOT,20.85,323,372,214,11,0
SV-1116-3775,GODU,19.83,1,9,1,0,0
SV-1121-9551,SHIREN!!,20.12,83,91,6,0,0
SV-1148-4459,ORUKAA,20.59,83,182,39,1,0
SV-1160-5041,IMPEMURI,19.73,56,10,0,0,0
SV-1173-7495,S.A.T.8,20.00
SV-1184-7206,X.  FKIP,20.13,25,55,3,0,0
SV-1185-8077,SLASH*S,20.62,389,402,135,2,0
SV-1190-4466,#N4ME?,20.00
SV-1194-2042,WF.YUKI,20.06,127,57,5,0,0
SV-1197-7518,IW-RIKO,19.69,37,30,0,0,0
SV-1202-3144,4NEZKEN4,20.00
SV-1204-4886,LUNASITA,20.55,24,115,18,0,0
SV-1215-4597,NIX,20.09,122,83,1,0,0
SV-1221-8822,STINGRAY,20.00,112,44,0,0,0
SV-1222-5689,F.L.,20.07,9,12,0,0,0
SV-1235-6862,SANDO,20.21,64,51,6,0,0
SV-1237-5881,DDX,21.39,383,421,274,34,0
SV-1238-0886,KIK,20.63,362,386,179,4,0
SV-1249-2599,FUYUKI. ,20.39,31,41,16,0,0
SV-1263-8927,PARU&NOA,19.96,12,7,0,0,0
SV-1296-9061,8SUDAIRA,20.03,12,5,4,0,0
SV-1316-2737,LEVI.S,20.01,10,14,0,0,0
SV-1323-7833,VX*SHION,20.04,94,52,3,0,0
SV-1348-1041,TWILIGHT,19.75,8,19,1,0,0
SV-1372-8169,RINZE-P,19.92,7,0,0,0,0
SV-1377-2654,NONO P,20.10,120,115,4,0,0
SV-1397-1496,FREAKY?,19.23,1,1,2,0,0
SV-1399-5940,RIIIIIIF,20.05,4,1,1,0,0
SV-1415-7143,#ARS.RV,20.59,226,294,48,0,0
SV-1417-7884,TET193*,20.00,4,0,0,0,0
SV-1419-0757,GRIZZLY,20.60
SV-1428-8596,2YOUDUCK,20.06,146,61,9,0,0
SV-1432-1209,TACA,19.64,10,1,0,0,0
SV-1432-3211,F.CHOUX,19.66,18,3,0,0,0
SV-1452-9480,GMM,19.71,6,2,0,0,0
SV-1455-3504,MK*INARI,20.31,345,166,24,0,0
SV-1465-2344,ARTXROOM,20.13,369,227,14,0,0
SV-1466-2375,JUNONBOY,20.07,2,1,3,0,0
SV-1467-4086,ECO*INY,20.05,12,15,1,0,0
